Sat,filled,interim,final,issue
8884,FALSE,TRUE,TRUE,FALSE
8885,TRUE,TRUE,TRUE,FALSE
8886,TRUE,TRUE,TRUE,FALSE
8887,TRUE,TRUE,TRUE,FALSE
8888,TRUE,TRUE,TRUE,FALSE
8889,FALSE,TRUE,FALSE,FALSE
8890,FALSE,TRUE,TRUE,FALSE
8891,TRUE,FALSE,TRUE,FALSE
8892,TRUE,FALSE,TRUE,FALSE
8893,FALSE,TRUE,TRUE,FALSE
8894,TRUE,TRUE,TRUE,FALSE
8895,TRUE,TRUE,TRUE,FALSE
8896,TRUE,TRUE,TRUE,FALSE
8897,TRUE,TRUE,TRUE,FALSE
8898,TRUE,TRUE,TRUE,FALSE
