sat,filled,interim,final,issue
35231,TRUE,FALSE,FALSE,FALSE
35252,TRUE,FALSE,FALSE,FALSE
35198,TRUE,TRUE,FALSE,FALSE
35177,TRUE,TRUE,FALSE,FALSE
35254,TRUE,TRUE,FALSE,FALSE
34749,TRUE,TRUE,FALSE,FALSE
35238,TRUE,FALSE,FALSE,TRUE
35194,TRUE,FALSE,FALSE,FALSE
